"name","hour","ts","max_high"
"BYND","09","2020-05-14 09:39:00-04:00","137.97000122070312"
"BYND","10","2020-05-14 10:31:00-04:00","139.55999755859375"
"BYND","11","2020-05-14 11:15:00-04:00","141.0"
"BYND","12","2020-05-14 12:57:00-04:00","138.24000549316406"
"BYND","13","2020-05-14 13:00:00-04:00","137.78990173339844"
"BYND","14","2020-05-14 14:12:00-04:00","135.7301025390625"
"BYND","15","2020-05-14 15:54:00-04:00","135.85000610351562"
"DDOG","09","2020-05-14 09:32:00-04:00","67.25"
"DDOG","10","2020-05-14 10:09:00-04:00","66.55000305175781"
"DDOG","11","2020-05-14 11:06:00-04:00","65.0"
"DDOG","11","2020-05-14 11:16:00-04:00","65.0"
"DDOG","11","2020-05-14 11:05:00-04:00","65.0"
"DDOG","11","2020-05-14 11:20:00-04:00","65.0"
"DDOG","12","2020-05-14 12:54:00-04:00","64.87999725341797"
"DDOG","13","2020-05-14 13:02:00-04:00","65.0"
"DDOG","14","2020-05-14 14:48:00-04:00","64.12999725341797"
"DDOG","15","2020-05-14 15:54:00-04:00","65.86990356445312"
"FB","09","2020-05-14 09:37:00-04:00","203.8677978515625"
"FB","10","2020-05-14 10:53:00-04:00","203.35000610351562"
"FB","11","2020-05-14 11:37:00-04:00","204.27000427246094"
"FB","12","2020-05-14 12:56:00-04:00","205.10000610351562"
"FB","13","2020-05-14 13:32:00-04:00","205.63999938964844"
"FB","14","2020-05-14 14:29:00-04:00","204.98500061035156"
"FB","15","2020-05-14 15:59:00-04:00","206.92999267578125"
"NFLX","09","2020-05-14 09:36:00-04:00","452.0"
"NFLX","10","2020-05-14 10:08:00-04:00","446.510009765625"
"NFLX","11","2020-05-14 11:16:00-04:00","440.6400146484375"
"NFLX","12","2020-05-14 12:59:00-04:00","440.3399963378906"
"NFLX","13","2020-05-14 13:49:00-04:00","441.7799987792969"
"NFLX","14","2020-05-14 14:30:00-04:00","441.44000244140625"
"NFLX","15","2020-05-14 15:59:00-04:00","442.1400146484375"
"OKTA","09","2020-05-14 09:39:00-04:00","178.0"
"OKTA","09","2020-05-14 09:38:00-04:00","178.0"
"OKTA","10","2020-05-14 10:10:00-04:00","177.80679321289062"
"OKTA","11","2020-05-14 11:37:00-04:00","179.88999938964844"
"OKTA","12","2020-05-14 12:57:00-04:00","179.0050048828125"
"OKTA","13","2020-05-14 13:02:00-04:00","178.5"
"OKTA","13","2020-05-14 13:03:00-04:00","178.5"
"OKTA","14","2020-05-14 14:32:00-04:00","177.80999755859375"
"OKTA","15","2020-05-14 15:05:00-04:00","177.85000610351562"
"PINS","09","2020-05-14 09:31:00-04:00","16.540000915527344"
"PINS","09","2020-05-14 09:32:00-04:00","16.540000915527344"
"PINS","10","2020-05-14 10:54:00-04:00","16.674999237060547"
"PINS","10","2020-05-14 10:53:00-04:00","16.674999237060547"
"PINS","11","2020-05-14 11:18:00-04:00","16.94499969482422"
"PINS","12","2020-05-14 12:57:00-04:00","17.040000915527344"
"PINS","13","2020-05-14 13:26:00-04:00","17.030000686645508"
"PINS","14","2020-05-14 14:21:00-04:00","16.905000686645508"
"PINS","14","2020-05-14 14:22:00-04:00","16.905000686645508"
"PINS","15","2020-05-14 15:51:00-04:00","17.09000015258789"
"PINS","15","2020-05-14 15:50:00-04:00","17.09000015258789"
"SHOP","09","2020-05-14 09:31:00-04:00","758.0900268554688"
"SHOP","10","2020-05-14 10:10:00-04:00","752.0"
"SHOP","10","2020-05-14 10:12:00-04:00","752.0"
"SHOP","11","2020-05-14 11:16:00-04:00","757.469970703125"
"SHOP","12","2020-05-14 12:57:00-04:00","754.1599731445312"
"SHOP","13","2020-05-14 13:01:00-04:00","755.8200073242188"
"SHOP","14","2020-05-14 14:57:00-04:00","751.7999877929688"
"SHOP","15","2020-05-14 15:50:00-04:00","755.5700073242188"
"SNAP","09","2020-05-14 09:31:00-04:00","16.729999542236328"
"SNAP","10","2020-05-14 10:54:00-04:00","16.93000030517578"
"SNAP","11","2020-05-14 11:07:00-04:00","17.149999618530273"
"SNAP","12","2020-05-14 12:57:00-04:00","16.989999771118164"
"SNAP","13","2020-05-14 13:31:00-04:00","17.0"
"SNAP","14","2020-05-14 14:57:00-04:00","16.920000076293945"
"SNAP","14","2020-05-14 14:58:00-04:00","16.920000076293945"
"SNAP","15","2020-05-14 15:09:00-04:00","16.969999313354492"
"SNAP","15","2020-05-14 15:08:00-04:00","16.969999313354492"
"SQ","09","2020-05-14 09:46:00-04:00","72.80999755859375"
"SQ","10","2020-05-14 10:59:00-04:00","75.58999633789062"
"SQ","11","2020-05-14 11:09:00-04:00","76.48999786376953"
"SQ","12","2020-05-14 12:59:00-04:00","76.75"
"SQ","13","2020-05-14 13:48:00-04:00","77.18000030517578"
"SQ","14","2020-05-14 14:59:00-04:00","77.26000213623047"
"SQ","15","2020-05-14 15:57:00-04:00","78.25"
"TTD","09","2020-05-14 09:31:00-04:00","289.44989013671875"
"TTD","10","2020-05-14 10:53:00-04:00","290.07000732421875"
"TTD","11","2020-05-14 11:18:00-04:00","296.8562927246094"
"TTD","12","2020-05-14 12:57:00-04:00","294.5"
"TTD","13","2020-05-14 13:31:00-04:00","296.0"
"TTD","14","2020-05-14 14:59:00-04:00","295.7699890136719"
"TTD","15","2020-05-14 15:24:00-04:00","297.6700134277344"
